手続きID,手続き名,フェーズ,必要書類,申請システム,承認者,標準所要日数,金額区分
K001,購買依頼の起票,契約,購買依頼書,購買システム,依頼部門の課長（購買の決裁者は金額区分による）,1営業日,すべての金額
K002,相見積の取得,契約,見積書2社分（300万円以上は3社分）,購買システム,調達課,5営業日,50万円以上
K003,新規取引先の登録申請,契約,取引先登録申請書・会社概要,購買システム,調達課長,7営業日,すべての金額
K004,取引先の与信確認,契約,決算書の写し,購買システム,経理部,5営業日,100万円以上
K005,契約書の作成依頼,契約,契約内容確認シート,法務システム,法務部,7営業日,すべての金額
K006,契約書の押印申請,契約,契約書の最終版,法務システム,法務部長,3営業日,すべての金額
K007,発注書の発行,発注,発注書・承認済み購買依頼書,購買システム,調達課,2営業日,すべての金額
K008,発注内容の変更,発注,発注変更依頼書,購買システム,調達課長,3営業日,すべての金額
K009,検収の登録,検収,検収書・納品書,購買システム,依頼部門の課長,2営業日,すべての金額
K010,分割納品の検収,検収,検収書・納品書,購買システム,依頼部門の課長,2営業日,すべての金額
K011,支払依頼の登録,支払,請求書・検収書,経理システム,経理部,3営業日,すべての金額
K012,契約更新の可否確認,契約,契約更新確認シート,法務システム,依頼部門の課長,10営業日,すべての金額
