製品ID,製品名,カテゴリ,想定顧客,主な特長,価格帯,標準リードタイム,保守サポート,提案時の注意点
P001,複合機 MX-500,オフィス機器,従業員100名以上の拠点,毎分50枚の高速印刷とICカード認証に対応,1台120万円前後,発注から6週間,5年間の定期保守を含む,設置には電源工事が必要な場合がある
P002,複合機 MX-300,オフィス機器,従業員30～100名の拠点,毎分30枚の印刷とスキャン共有機能,1台70万円前後,発注から4週間,5年間の定期保守を含む,大量印刷が続く環境ではMX-500を検討する
P003,業務用プリンタ PR-100,オフィス機器,伝票や帳票を大量に印刷する部門,連続印刷に強く消耗品コストが低い,1台35万円前後,発注から3週間,3年間の定期保守を含む,スキャン機能とコピー機能は搭載していない
P004,電子ホワイトボード BD-20,オフィス機器,会議室を多く持つ企業,手書き内容の保存とオンライン会議への画面共有,1台45万円前後,発注から4週間,3年間の定期保守を含む,無線ネットワーク環境が必要
P005,会議室予約システム MiraRoom,業務ソフトウェア,拠点や会議室が多い企業,予約状況の一覧表示と入室記録の自動化,1名あたり月額400円,契約から2週間,標準サポートを含む,既存の勤怠システムとの連携は個別見積となる
P006,文書管理システム MiraDocs,業務ソフトウェア,契約書や図面を多く扱う企業,版管理と閲覧権限の細かい設定,1名あたり月額900円,契約から3週間,標準サポートを含む,既存文書の移行作業は別途見積となる
P007,経費精算システム MiraKintai,業務ソフトウェア,経費申請の紙運用が残る企業,領収書の読み取りと承認経路の自動判定,1名あたり月額600円,契約から3週間,標準サポートを含む,会計システムとの連携仕様は事前確認が必要
P008,営業支援システム MiraSales,業務ソフトウェア,営業担当20名以上の企業,商談履歴の共有と案件進捗の可視化,1名あたり月額1200円,契約から4週間,標準サポートを含む,初期設定の支援は導入支援サービスの契約が必要
P009,小型商用バン CV-100,車両,配送業務を行う企業,積載量1トンで市街地での取り回しが良い,1台280万円前後,発注から10週間,3年間の点検整備を含む,登録手続きに追加で2週間程度かかる
P010,電動小型トラック EV-200,車両,環境配慮を進める企業,1回の充電で走行距離200km,1台480万円前後,発注から14週間,3年間の点検整備を含む,充電設備の設置は含まない
P011,電動フォークリフト FL-30,車両,倉庫や工場を持つ企業,最大積載1.5トンで屋内使用に適する,1台320万円前後,発注から8週間,3年間の点検整備を含む,操作には有資格者が必要
P012,車両管理サービス MiraFleet,業務ソフトウェア,社用車を10台以上保有する企業,走行記録と点検時期の管理を自動化,1台あたり月額1500円,契約から2週間,標準サポートを含む,車載機器の取り付け作業が別途発生する
