スペースID,スペース名,階・エリア,主な用途,定員,予約,会話,通話,オンライン会議,飲食,利用時間帯,1回の利用上限,設備・補足
S001,オープン席A,5階 東側,個人作業・短時間のデスクワーク,30名,不要,小声のみ可,不可,不可,飲み物のみ可,平日8:00～20:00,上限なし,一部の席に外部モニターあり
S002,オープン席B,6階 西側,チームでの作業・相談,24名,不要,可,短時間のみ可,不可,飲み物のみ可,平日8:00～20:00,上限なし,可動式ホワイトボードあり
S003,集中エリア,5階 北側,一人で集中する作業,16名,不要,不可,不可,不可,飲み物のみ可,平日8:00～20:00,1回120分を目安,静音キーボード推奨
S004,フォンブース1,5階 中央,1人での通話・オンライン会議,1名,必要,1名で利用,可,可,飲食不可,平日8:00～20:00,連続60分まで,モニターなし
S005,フォンブース2,6階 中央,1人でのオンライン会議,1名,必要,1名で利用,可,可,飲食不可,平日8:00～20:00,連続60分まで,小型モニターあり
S006,2名用会議室,5階 西側,面談・少人数の打ち合わせ,2名,必要,可,可,可,飲み物のみ可,平日8:00～20:00,1回120分まで,モニターあり
S007,4名用会議室A,5階 南側,社内会議・オンライン会議,4名,必要,可,可,可,飲み物のみ可,平日8:00～20:00,1回120分まで,大型モニターあり
S008,4名用会議室B,6階 南側,アイデア出し・小規模ワークショップ,4名,必要,可,可,可,飲み物のみ可,平日8:00～20:00,1回180分まで,ホワイトボードあり
S009,8名用会議室,6階 東側,部門会議・研修・オンライン会議,8名,必要,可,可,可,飲み物のみ可,平日8:00～20:00,1回180分まで,大型モニター・カメラあり
S010,来客用会議室,2階 受付横,社外の来客を伴う会議,6名,必要,可,可,可,飲み物のみ可,平日9:00～18:00,上限なし,受付手続きが必要
S011,共有ラウンジ,6階 中央,休憩・交流・短時間の打ち合わせ,20名,不要,可,短時間のみ可,不可,指定区画では昼食可,平日8:00～20:00,上限なし,水曜日12:00～13:00は交流タイム
S012,ランチエリア,5階 南西,昼食・休憩,24名,不要,可,不可,不可,食事可,11:30～14:00,上限なし,電子レンジ・給湯設備あり
