研修ID,研修名,カテゴリ,概要,対象者,前提知識,実施形式,開催日時・受講期間,申込期限,定員,録画・再受講
T001,生成AI業務活用入門,生成AI,生成AIの基本と、文章作成・要約・アイデア出しでの活用方法を学ぶ,生成AIを初めて業務で使う社員,なし,オンライン,2026年9月17日 13:00～16:00,2026年9月10日,30名,録画あり
T002,プロンプト作成の基礎,生成AI,目的や条件を明確にした指示の作り方と改善方法を演習する,生成AIを業務で使い始めた社員,生成AIチャットの利用経験,集合,2026年9月25日 9:30～12:30,2026年9月16日,24名,再受講可
T003,AIツール企画ワークショップ,生成AI,自部門の業務課題を整理し、AIツールの企画案を作成する,AI活用を企画・推進する担当者,生成AIの基本知識,集合,2026年10月8日 9:30～17:00,2026年9月29日,20名,録画なし
T004,情報セキュリティ更新研修,セキュリティ,情報資産、標的型攻撃、生成AI利用時の注意事項を確認する,全社員,なし,オンデマンド,2026年10月1日～2026年10月31日,2026年10月31日,定員なし,期間内再受講可
T005,Excelデータ集計入門,データ分析,表の整形、基本関数、並べ替え、フィルター、ピボットテーブルを学ぶ,Excelで集計業務を行う社員,Excelの基本操作,集合,2026年10月14日 9:30～17:00,2026年10月5日,20名,再受講可
T006,Power BI基礎,データ分析,Excelデータを取り込み、グラフとレポートを作成する,データを可視化したい社員,Excelの基本操作,集合,2026年10月22日 9:30～17:00,2026年10月13日,20名,録画なし
T007,Power BIレポート改善,データ分析,既存レポートの見やすさ、指標、フィルター設計を改善する,Power BIでレポートを作成した経験がある社員,Power BI基礎相当,オンライン,2026年11月5日 13:00～16:30,2026年10月27日,25名,録画あり
T008,伝わるプレゼンテーション,業務スキル,話の構成、スライドの情報整理、発表時の伝え方を学ぶ,社内外で説明や発表を行う社員,なし,集合,2026年11月12日 9:30～16:30,2026年11月2日,18名,録画なし
T009,ロジカルシンキング基礎,業務スキル,情報を分解・整理し、根拠と結論を分かりやすく組み立てる,若手・中堅社員,なし,オンライン,2026年11月18日 13:00～16:00,2026年11月10日,30名,録画あり
T010,新任管理職研修,マネジメント,目標設定、部下との対話、業務管理の基本を学ぶ,新たに管理職となった社員,管理職への就任,集合,2026年11月26日 9:30～17:00,2026年11月16日,16名,再受講可
T011,プロジェクトマネジメント入門,マネジメント,目的、スケジュール、役割、リスクを整理してプロジェクトを進める基本を学ぶ,プロジェクトに参加する社員,なし,オンライン,2026年12月3日 13:00～16:30,2026年11月24日,30名,録画あり
T012,顧客対応とビジネスメール,顧客対応,問い合わせへの初動、分かりやすい回答、メール表現を演習する,顧客対応を行う社員,なし,集合,2026年12月10日 9:30～16:30,2026年12月1日,20名,録画なし
